,AGITATOR_SPEED,SEED_CRYSTAL_MASS,YIELD,GROWTH_RATE,MEAN_DIAMETER
80,245,0.6000000000000001,201.79786999999993,7.075257500000008e-08,219.74494999999976
81,245,0.8,201.79786999999993,7.075257500000008e-08,219.74494999999976
82,245,1.0,201.79786999999993,7.075257500000008e-08,219.74494999999976
83,245,1.2000000000000002,202.18643399999996,6.994731600000009e-08,217.22558999999984
84,245,1.4000000000000001,202.18643399999996,6.994731600000009e-08,217.22558999999984
85,245,1.6,183.74181100000015,5.884845199999995e-08,191.437386667
86,245,1.8,183.74181100000015,5.884845199999995e-08,191.437386667
87,245,2.0,183.74181100000015,5.884845199999995e-08,191.437386667
88,250,0.0,184.05223499999988,6.946117900000002e-08,221.55309999999997
89,250,0.2,184.05223499999988,6.946117900000002e-08,221.55309999999997
90,250,0.4,184.05223499999988,6.946117900000002e-08,221.55309999999997
91,250,0.6000000000000001,201.79786999999993,7.075257500000008e-08,219.74494999999976
92,250,0.8,201.79786999999993,7.075257500000008e-08,219.74494999999976
93,250,1.0,201.79786999999993,7.075257500000008e-08,219.74494999999976
94,250,1.2000000000000002,202.18643399999996,6.994731600000009e-08,217.22558999999984
95,250,1.4000000000000001,202.18643399999996,6.994731600000009e-08,217.22558999999984
96,250,1.6,183.74181100000015,5.884845199999995e-08,191.437386667
97,250,1.8,183.74181100000015,5.884845199999995e-08,191.437386667
98,250,2.0,183.74181100000015,5.884845199999995e-08,191.437386667
99,255,0.0,184.05223499999988,6.946117900000002e-08,221.55309999999997
100,255,0.2,184.05223499999988,6.946117900000002e-08,221.55309999999997
101,255,0.4,184.05223499999988,6.946117900000002e-08,221.55309999999997
102,255,0.6000000000000001,201.79786999999993,7.075257500000008e-08,219.74494999999976
103,255,0.8,201.79786999999993,7.075257500000008e-08,219.74494999999976
104,255,1.0,201.79786999999993,7.075257500000008e-08,219.74494999999976
105,255,1.2000000000000002,202.18643399999996,6.994731600000009e-08,217.22558999999984
106,255,1.4000000000000001,202.18643399999996,6.994731600000009e-08,217.22558999999984
107,255,1.6,183.74181100000015,5.884845199999995e-08,191.437386667
108,255,1.8,183.74181100000015,5.884845199999995e-08,191.437386667
109,255,2.0,183.74181100000015,5.884845199999995e-08,191.437386667
110,260,0.0,184.05223499999988,6.946117900000002e-08,221.55309999999997
111,260,0.2,184.05223499999988,6.946117900000002e-08,221.55309999999997
112,260,0.4,184.05223499999988,6.946117900000002e-08,221.55309999999997
113,260,0.6000000000000001,201.79786999999993,7.075257500000008e-08,219.74494999999976
114,260,0.8,201.79786999999993,7.075257500000008e-08,219.74494999999976
115,260,1.0,201.79786999999993,7.075257500000008e-08,219.74494999999976
116,260,1.2000000000000002,202.18643399999996,6.994731600000009e-08,217.22558999999984
117,260,1.4000000000000001,202.18643399999996,6.994731600000009e-08,217.22558999999984
118,260,1.6,183.74181100000015,5.884845199999995e-08,191.437386667
119,260,1.8,183.74181100000015,5.884845199999995e-08,191.437386667
120,260,2.0,183.74181100000015,5.884845199999995e-08,191.437386667
121,265,0.0,184.05223499999988,6.946117900000002e-08,221.55309999999997
122,265,0.2,184.05223499999988,6.946117900000002e-08,221.55309999999997
123,265,0.4,184.05223499999988,6.946117900000002e-08,221.55309999999997
124,265,0.6000000000000001,201.79786999999993,7.075257500000008e-08,219.74494999999976
125,265,0.8,201.79786999999993,7.075257500000008e-08,219.74494999999976
126,265,1.0,201.79786999999993,7.075257500000008e-08,219.74494999999976
127,265,1.2000000000000002,202.18643399999996,6.994731600000009e-08,217.22558999999984
128,265,1.4000000000000001,202.18643399999996,6.994731600000009e-08,217.22558999999984
129,265,1.6,183.74181100000015,5.884845199999995e-08,191.437386667
130,265,1.8,183.74181100000015,5.884845199999995e-08,191.437386667
131,265,2.0,183.74181100000015,5.884845199999995e-08,191.437386667
132,270,0.0,184.05223499999988,6.946117900000002e-08,221.55309999999997
133,270,0.2,184.05223499999988,6.946117900000002e-08,221.55309999999997
134,270,0.4,184.05223499999988,6.946117900000002e-08,221.55309999999997
135,270,0.6000000000000001,201.79786999999993,7.075257500000008e-08,219.74494999999976
136,270,0.8,201.79786999999993,7.075257500000008e-08,219.74494999999976
137,270,1.0,201.79786999999993,7.075257500000008e-08,219.74494999999976
138,270,1.2000000000000002,202.18643399999996,6.994731600000009e-08,217.22558999999984
139,270,1.4000000000000001,202.18643399999996,6.994731600000009e-08,217.22558999999984
140,270,1.6,183.74181100000015,5.884845199999995e-08,191.437386667
141,270,1.8,183.74181100000015,5.884845199999995e-08,191.437386667
142,270,2.0,183.74181100000015,5.884845199999995e-08,191.437386667
143,275,0.0,184.05223499999988,6.946117900000002e-08,221.55309999999997
144,275,0.2,184.05223499999988,6.946117900000002e-08,221.55309999999997
145,275,0.4,184.05223499999988,6.946117900000002e-08,221.55309999999997
146,275,0.6000000000000001,201.79786999999993,7.075257500000008e-08,219.74494999999976
147,275,0.8,201.79786999999993,7.075257500000008e-08,219.74494999999976
148,275,1.0,201.79786999999993,7.075257500000008e-08,219.74494999999976
149,275,1.2000000000000002,202.18643399999996,6.994731600000009e-08,217.22558999999984
150,275,1.4000000000000001,202.18643399999996,6.994731600000009e-08,217.22558999999984
151,275,1.6,183.74181100000015,5.884845199999995e-08,191.437386667
152,275,1.8,183.74181100000015,5.884845199999995e-08,191.437386667
153,275,2.0,183.74181100000015,5.884845199999995e-08,191.437386667
154,280,0.0,184.05223499999988,6.946117900000002e-08,221.55309999999997
155,280,0.2,184.05223499999988,6.946117900000002e-08,221.55309999999997
156,280,0.4,184.05223499999988,6.946117900000002e-08,221.55309999999997
157,280,0.6000000000000001,201.79786999999993,7.075257500000008e-08,219.74494999999976
158,280,0.8,201.79786999999993,7.075257500000008e-08,219.74494999999976
159,280,1.0,201.79786999999993,7.075257500000008e-08,219.74494999999976
160,280,1.2000000000000002,202.18643399999996,6.994731600000009e-08,217.22558999999984
161,280,1.4000000000000001,202.18643399999996,6.994731600000009e-08,217.22558999999984
162,280,1.6,183.74181100000015,5.884845199999995e-08,191.437386667
163,280,1.8,183.74181100000015,5.884845199999995e-08,191.437386667
164,280,2.0,183.74181100000015,5.884845199999995e-08,191.437386667
165,285,0.0,184.05223499999988,6.946117900000002e-08,221.55309999999997
166,285,0.2,184.05223499999988,6.946117900000002e-08,221.55309999999997
167,285,0.4,184.05223499999988,6.946117900000002e-08,221.55309999999997
168,285,0.6000000000000001,201.79786999999993,7.075257500000008e-08,219.74494999999976
169,285,0.8,201.79786999999993,7.075257500000008e-08,219.74494999999976
170,285,1.0,201.79786999999993,7.075257500000008e-08,219.74494999999976
171,285,1.2000000000000002,202.18643399999996,6.994731600000009e-08,217.22558999999984
